scenario,sample_id,architecture,method,status,error_px,iou,angular_error_deg,scale_ratio_error,runtime_ms,score,failure_mode
scale_ratio=0.5,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,60.53241000017806,,missed_detection
scale_ratio=0.5,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.8082712484194586,0.9826645121146745,90.64786731191168,0.006387742994969914,275.5680629998096,0.6452754293702848,scale_orientation_error
scale_ratio=0.75,dram_0000,dram,NCC,ok,20.419907000761615,0.31356319913171543,45.0,0.0,52.867814999899565,0.5575955547392368,false_positive
scale_ratio=0.75,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,48.504394000246975,,missed_detection
scale_ratio=0.75,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.49774405296065405,0.9827099857733259,89.5264069284205,0.007733932889575208,268.20336499986297,0.7644709557436185,scale_orientation_error
scale_ratio=0.75,finfet_0000,finfet,NCC,ok,72.26672240398952,0.19853125822720422,45.0,0.3333333333333333,53.15136599983816,0.5505525805056095,false_positive
scale_ratio=0.75,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,53.12833200014211,,missed_detection
scale_ratio=0.75,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.2880297221979424,0.9870325199365119,89.46357897543157,0.005068024077677702,291.3759729999583,0.6763688594106554,scale_orientation_error
scale_ratio=0.9,dram_0000,dram,NCC,ok,15.601887459502102,0.6253198446610764,45.0,0.11111111111111108,56.083411000145134,0.5588815957307816,scale_orientation_error
scale_ratio=0.9,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,50.16110499991555,,missed_detection
scale_ratio=0.9,dram_0000,dram,HYBRID-CONFIDENCE,ok,1.0288228286734797,0.9713692773510417,89.56413255626353,0.012142778478658868,294.4476850002502,0.7754464245378502,scale_orientation_error
scale_ratio=0.9,finfet_0000,finfet,NCC,ok,39.60936117387693,0.3098740218408094,45.0,0.16666666666666669,53.305013999761286,0.547564223408699,false_positive
scale_ratio=0.9,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,51.204254000367655,,missed_detection
scale_ratio=0.9,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.5442673746597404,0.9862951274976556,90.05781497321436,0.0023637256560576298,309.2186050002965,0.7774159423507233,scale_orientation_error
scale_ratio=1.0,dram_0000,dram,NCC,ok,13.602940819637643,0.6547807606524204,45.0,0.0,54.309095999997226,0.569275751709938,scale_orientation_error
scale_ratio=1.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,46.189050000066345,,missed_detection
scale_ratio=1.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.9072696642648561,0.9694256143731766,90.50299695090496,0.013675047026975973,319.27805599980275,0.7639343139359299,scale_orientation_error
scale_ratio=1.0,finfet_0000,finfet,NCC,ok,26.671828999306918,0.4268153614806358,45.0,0.25,54.46151699970869,0.5525986589491367,false_positive
scale_ratio=1.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,52.756439999939175,,missed_detection
scale_ratio=1.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.8157045654550968,0.9721869535897967,89.81691726815649,0.01342976338822155,335.21805700002005,0.6503151995552812,scale_orientation_error
scale_ratio=1.1,dram_0000,dram,NCC,ok,12.07474380279901,0.5082093844229928,45.0,0.13636363636363627,60.38857600015035,0.5831557288765907,scale_orientation_error
scale_ratio=1.1,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,53.66613700016387,,missed_detection
scale_ratio=1.1,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.7369774975760712,0.9641556630143583,89.1616190108536,0.016629822169340006,280.7995580001261,0.7109665046044064,scale_orientation_error
scale_ratio=1.1,finfet_0000,finfet,NCC,ok,77.89743728220799,0.09286577461924023,45.0,0.09090909090909098,56.54047000007267,0.5369919240474701,false_positive
scale_ratio=1.1,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,50.382352999804425,,missed_detection
scale_ratio=1.1,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.6457689991469833,0.9825306463348177,90.19758652480795,0.001642680396757402,300.9449010000935,0.6569961042268344,scale_orientation_error
scale_ratio=1.25,dram_0000,dram,NCC,ok,13.602940819637643,0.6143483488686065,45.0,0.4,53.13276900005803,0.590927392244339,scale_orientation_error
scale_ratio=1.25,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,46.434469999894645,,missed_detection
scale_ratio=1.25,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.5645621391774847,0.9804491519755308,89.91680294377653,0.0073197378747446255,260.709162999774,0.7609743718000131,scale_orientation_error
scale_ratio=1.25,finfet_0000,finfet,NCC,ok,48.83048895085965,0.19098966450511323,45.0,0.4,52.32922499999404,0.5384162180125713,false_positive
scale_ratio=1.25,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,44.72737399964899,,missed_detection
scale_ratio=1.25,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,1.3833581520511309,0.9228674792763477,92.56302849084534,0.034636022022314174,284.7758100001556,0.62908426064531,scale_orientation_error
scale_ratio=1.5,dram_0000,dram,NCC,ok,353.7130050064244,0.0,45.0,0.3333333333333333,54.9434179997661,0.5939758718013763,false_positive
scale_ratio=1.5,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,41.02920100012852,,missed_detection
scale_ratio=1.5,dram_0000,dram,HYBRID-CONFIDENCE,ok,1.169514265057442,0.9366080740261655,91.9032994331667,0.024949149129197323,288.9107010000771,0.5787997773399203,scale_orientation_error
scale_ratio=1.5,finfet_0000,finfet,NCC,ok,48.84436456063807,0.1578476363393912,45.0,0.5,52.64831899967248,0.530037684366107,false_positive
scale_ratio=1.5,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,47.72467600014352,,missed_detection
scale_ratio=1.5,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.8901661558641791,0.9606920376543704,88.6825366855577,0.009778180467288214,290.5157000000145,0.4522543448574149,scale_orientation_error
scale_ratio=2.0,dram_0000,dram,NCC,ok,19.909662166713844,0.3692887745071395,45.0,0.625,53.88111999991452,0.574422687292099,scale_orientation_error
scale_ratio=2.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,41.28885700038154,,missed_detection
scale_ratio=2.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.4421907908171025,0.9116447675543046,94.58135158588055,0.03561524943028327,250.6802829998378,0.4956855267508337,scale_orientation_error
scale_ratio=2.0,finfet_0000,finfet,NCC,ok,65.61099196390275,0.1047041654224718,45.0,0.375,54.35216900013984,0.5338972061872482,false_positive
scale_ratio=2.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,49.42386999982773,,missed_detection
scale_ratio=2.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,19.261793981076014,3.149739501166935e-07,170.6989528098785,1779.9128336726535,283.97205099963685,0.22,scale_orientation_error
edge_brightening=0.0,dram_0000,dram,NCC,ok,54.459120817857546,0.1812026961155572,45.0,0.25,56.20331000000078,0.5892451256513596,false_positive
edge_brightening=0.0,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,48.89038700002857,,missed_detection
